Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
100104602161327|T|ZTAX|24.35|1|25.96|1|R|6017262|A| |||C|||||A|100104601807742||| 
100104602171289|T|ZTAX|24.35|1|25.71|1|R|6017263|A| |||C|||||A|100104601821998||| 
100215175331458|P|ZTAX|25.08|1|25.2|1|R|6272837|G| |||C|||||A|100215175306345||| 
100215175707285|Z|ZTAX|23.69|1|25.3|1|R|6272838|A| |||C|||||A|100215175476000||| 
100215233399892|Y|ZTAX|24.07|1|26.21|1|R|6273072|A| |||C|||||A|100215233167000||| 
100215233409917|Z|ZTAX|24.07|1|25.3|1|R|6273073|A| |||C|||||A|100215233176000||| 
100215233409917|K|ZTAX|24.07|1|26.21|1|R|6273074|A| |||C|||||A|100215233182000||| 
100215733201397|Z|ZTAX|24.98|1|25.3|1|R|6274843|A| |||C|||||A|100215732969000||| 
100219426306448|P|ZTAX|24.9|1|25.2|1|R|6286972|U| |||C|||||A|100219426278308||| 
100219426677251|Z|ZTAX|24.07|1|25.3|1|R|6286973|U| |||C|||||A|100219426448000||| 
100219426822651|P|ZTAX|24.85|4|25.2|1|R|6286974|G| |||C|||||A|100219426797998||| 
100219733258284|Z|ZTAX|24.76|1|25.3|1|R|6288531|A| |||C|||||A|100219733027000||| 
100225504929064|P|ZTAX|25.11|1|25.2|1|R|6304256|G| |||C|||||A|100225504902841||| 
100228675673569|P|ZTAX|24.93|1|25.2|1|R|6313941|G| |||C|||||A|100228675649082||| 
100228676049377|Z|ZTAX|24.07|1|25.3|1|R|6313942|A| |||C|||||A|100228675818000||| 
100228676179687|P|ZTAX|24.85|4|25.2|1|R|6313943|G| |||C|||||A|100228676157137||| 
100228733436292|Z|ZTAX|24.76|1|25.3|1|R|6313967|A| |||C|||||A|100228733205000||| 
101103563891415|K|ZTAX|24.85|1|26.21|1|R|7832946|A| |||C|||||A|101103563653000||| 
105128147114712|K|ZTAX|24.85|1|25.15|1|R|15490902|U| |||C|||||A|105128146875000||| 
105128147174849|Z|ZTAX|24.76|1|26.21|1|R|15490903|A| |||C|||||A|105128146944000||| 
105128733462733|Z|ZTAX|24.76|1|25.25|1|R|15493193|A| |||C|||||A|105128733226000||| 
105131546950602|P|ZTAX|24.85|4|25.33|1|R|15502790|A| |||C|||||A|105131546921991||| 
111603784391553|Z|ZTAX|24.07|1|26.21|1|R|20241679|A| |||C|||||A|111603784160000||| 
111604733489469|Z|ZTAX|24.07|1|25.25|1|R|20248420|A| |||C|||||A|111604733257000||| 
111604733499508|Z|ZTAX|24.76|1|25.25|1|R|20248421|A| |||C|||||A|111604733269000||| 
111828438378555|K|ZTAX|24.85|1|25.15|1|R|20757351|A| |||C|||||A|111828438140000||| 
113708836466443|Z|ZTAX|24.76|1|25.25|1|R|23978582|A| |||C|||||A|113708836206000||| 
113710507931462|Z|ZTAX|24.76|1|25.25|1|R|23984858|A| |||C|||||A|113710507702000||| 
113729070728164|K|ZTAX|24.85|1|25.15|1|R|24052702|A| |||C|||||A|113729070492000||| 
113730970883358|K|ZTAX|24.85|1|25.15|1|R|24056622|A| |||C|||||A|113730970652000||| 
113744336804452|K|ZTAX|24.85|1|25.15|1|R|24094384|A| |||C|||||A|113744336569000||| 
113747844492614|K|ZTAX|24.85|1|25.15|1|R|24101665|A| |||C|||||A|113747844266000||| 
113807734674528|K|ZTAX|24.85|1|25.15|1|R|24158707|A| |||C|||||A|113807734444000||| 
113809754149251|K|ZTAX|24.85|1|25.15|1|R|24163372|A| |||C|||||A|113809753919000||| 
113839388226623|K|ZTAX|24.85|1|25.15|1|R|24258818|A| |||C|||||A|113839387993000||| 
113842024477174|K|ZTAX|24.85|1|25.15|1|R|24264699|A| |||C|||||A|113842024247000||| 
113944996107090|K|ZTAX|24.85|1|25.15|1|R|24465019|A| |||C|||||A|113944995875000||| 
113947051442451|K|ZTAX|24.85|1|25.15|1|R|24470955|A| |||C|||||A|113947051213000||| 
120000371501934|K|ZTAX|24.07|1|25.15|1|R|27515136|A| |||C|||||A|120000371270000||| 
120003567536766|K|ZTAX|24.85|1|25.15|1|R|27530752|A| |||C|||||A|120003567303000||| 
120358416385997|K|ZTAX|24.85|1|25.15|1|R|28133967|A| |||C|||||A|120358416149000||| 
120401704450361|K|ZTAX|24.85|1|25.15|1|R|28141932|A| |||C|||||A|120401704222000||| 
120422630171026|K|ZTAX|24.85|1|25.15|1|R|28194239|A| |||C|||||A|120422629937000||| 
120425072333469|K|ZTAX|24.85|1|25.15|1|R|28202072|A| |||C|||||A|120425072104000||| 
120450032051724|K|ZTAX|24.85|1|25.15|1|R|28260706|A| |||C|||||A|120450031815000||| 
120451995573302|K|ZTAX|24.85|1|25.15|1|R|28266339|A| |||C|||||A|120451995345000||| 
120512468439331|K|ZTAX|24.85|1|25.15|1|R|28318779|A| |||C|||||A|120512468207000||| 
120515324659083|K|ZTAX|24.85|1|25.15|1|R|28327576|A| |||C|||||A|120515324433000||| 
120553001056455|K|ZTAX|24.85|1|25.15|1|R|28414568|A| |||C|||||A|120553000825000||| 
120554410080633|K|ZTAX|24.85|1|25.15|1|R|28418412|A| |||C|||||A|120554409850000||| 
120624556034264|K|ZTAX|24.85|1|25.15|1|R|28505859|A| |||C|||||A|120624555799000||| 
120626789945266|K|ZTAX|24.85|1|25.15|1|R|28513442|A| |||C|||||A|120626789716000||| 
120705549444787|Y|ZTAX|24.07|1|26.21|1|R|28610832|A| |||C|||||A|120705549206000||| 
120708724660242|Y|ZTAX|24.07|1|26.21|1|R|28618844|A| |||C|||||A|120708724427000||| 
123021505715752|K|ZTAX|24.85|1|26.21|1|R|32140295|U| |||C|||||A|123021505484000||| 
123021505780860|Z|ZTAX|24.76|1|26.21|1|R|32140296|U| |||C|||||A|123021505552000||| 
123021507860854|P|ZTAX|24.85|4|25.58|1|R|32140299|G| |||C|||||A|123021507836388||| 
123021507891034|P|ZTAX|24.85|4|25.43|1|R|32140300|G| |||C|||||A|123021507865773||| 
123021507891034|P|ZTAX|24.85|4|25.58|1|R|32140301|G| |||C|||||A|123021507870545||| 
123021508687797|J|ZTAX|24.35|1|26.1|1|R|32140302|A| |||C|||||A|123021508447000||| 
123021508963501|T|ZTAX|24.35|1|26.1|1|R|32140303|A| |||C|||||A|123021508608777||| 
123021520947064|Y|ZTAX|24.07|1|26.61|1|R|32140306|A| |||C|||||A|123021520708000||| 
