Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
155559074651488|Z|YHGJ|.7793|1|.8505|1|R|99588200|0||||N||0|||A|155559074472000||| 
155559589921869|Z|YHGJ|.7793|1|.8132|1|R|99589656|0||||N||0|||A|155559589741000||| 
155712715005742|U|YHGJ|.7824|1|.8495|1|R|100017468|0||||N||0|||A|155712714833836||| 
155802083690493|N|YHGJ|.626|2|1.01|2|R|100327537|0||||N||0|||A|155802083354574||| 
155830953892177|Q|YHGJ|.7646|2|.813|1|R|100525953|0||||N||0|||A|155830953880133||| 
155831036113379|Q|YHGJ|.763|1|.813|1|R|100526884|0||||N||0|||A|155831036101359||| 
155912901738977|Z|YHGJ|.7433|1|.8505|1|R|100897091|0||||N||0|||A|155912901560000||| 
155931386443568|Z|YHGJ|.7433|1|.8505|1|R|101079989|0||||N||0|||A|155931386258000||| 
155941080075710|Y|YHGJ|0|0|.81|1|Y|101197576|0||||N||0|||A|155941079899000||| 
155941080093338|Y|YHGJ|0|0|0|0|L|101197577|3||||N||0|||A|155941079919000||| 
155942063558088|Y|YHGJ|0|0|.803|1|Y|101210602|3||||N||0|||A|155942063378000||| 
155942357915701|K|YHGJ|.7824|1|.8493|2|R|101214235|0||||N||0|||A|155942357736000||| 
155942357928945|K|YHGJ|.7824|1|.8228|1|R|101214236|0||||N||0|||A|155942357750000||| 
155944302823072|Y|YHGJ|0|0|.803|1|Y|101239668|0||||N||0|||A|155944302648000||| 
155944302831097|Y|YHGJ|0|0|0|0|L|101239669|3||||N||0|||A|155944302656000||| 
155945010031478|Y|YHGJ|0|0|.7995|1|Y|101251133|3||||N||0|||A|155945009852000||| 
155945010100238|Y|YHGJ|0|0|.7995|1|Y|101251136|0||||N||0|||A|155945009912000||| 
155945010121357|Y|YHGJ|0|0|.7995|1|Y|101251137|0||||N||0|||A|155945009934000||| 
155945010124702|Y|YHGJ|0|0|0|0|L|101251138|3||||N||0|||A|155945009934000||| 
155946085298296|Y|YHGJ|0|0|.7995|1|Y|101275087|3||||N||0|||A|155946085119000||| 
155946085362140|Y|YHGJ|0|0|.7995|1|Y|101275088|0||||N||0|||A|155946085176000||| 
155946183992718|J|YHGJ|.7354|1|.8475|1|R|101276666|0||||N||0|||A|155946183808000||| 
155949302759134|Y|YHGJ|0|0|0|0|L|101324001|3||||N||0|||A|155949302582000||| 
155949380999272|J|YHGJ|.7354|1|.8618|1|R|101324765|0||||N||0|||A|155949380817000||| 
155953901525485|Y|YHGJ|0|0|.81|1|Y|101411230|3||||N||0|||A|155953901346000||| 
155954014278993|K|YHGJ|.7824|1|.8228|1|R|101412639|0||||N||0|||A|155954014096000||| 
155954096249128|Y|YHGJ|0|0|0|0|L|101415413|3||||N||0|||A|155954096073000||| 
155955032033324|Y|YHGJ|0|0|.803|1|Y|101429756|3||||N||0|||A|155955031852000||| 
155955189284059|J|YHGJ|.7354|1|.8512|1|R|101434089|0||||N||0|||A|155955189102000||| 
155956636085392|Q|YHGJ|.7949|1|.813|1|R|101455955|3||||N||0|||A|155956636072426||| 
155956636086652|Q|YHGJ|.795|1|.813|1|R|101455956|3||||N||0|||A|155956636075326||| 
155956636598303|H|YHGJ|.7949|1|.8495|1|R|101455961|0||||N||0|||A|155956636339601||| 
155956702955996|J|YHGJ|.7473|1|.8512|1|R|101456766|0||||N||0|||A|155956702774000||| 
155958002209773|Y|YHGJ|0|0|0|0|L|101480439|3||||N||0|||A|155958002035000||| 
155958084474176|Q|YHGJ|.795|2|.813|1|R|101485595|4||||N||0|||A|155958084461518||| 
155958144847677|J|YHGJ|.7473|1|.8618|1|R|101486794|0||||N||0|||A|155958144667000||| 
160000002062822|H|YHGJ|.7824|1|.8495|1|R|101532940|0||||N||0|||A|160000001500582||| 
160000002436665|Z|YHGJ|.7433|1|.8505|1|R|101533047|0||||N||0|||A|160000000065000||| 
160000005859407|J|YHGJ|0|0|.8618|1|Y|101534321|0||||N||0|||A|160000000058000||| 
160000005994011|J|YHGJ|0|0|0|0|L|101534383|0||||N||0|||A|160000000058000||| 
160000008058347|Z|YHGJ|.7433|1|.8505|1|R|101535379|0||||N||0|||A|160000000065000||| 
160000010559572|K|YHGJ|.7824|1|.8228|1|R|101536564|0||||N||0|||A|160000000055000||| 
160000025821196|N|YHGJ|0|0|0|0|R|101539445|0||||N||0|||A|160000025427055||| 
160000032432103|K|YHGJ|.7824|1|.8493|1|R|101540508|0||||N||0|||A|160000032239000||| 
160000041024036|Q|YHGJ|.795|2|.813|1|R|101542509|4||||N||0||E||200000000000000||| 
160000086952941|Z|YHGJ|0|0|0|0|L|101546417|0||||N||0||||160000086775000||| 
160000112375001|P|YHGJ|.7824|5|.849|1|R|101548639|0||||N||0||||160000112037417||| 
160000123336446|Q|YHGJ|.795|1|.813|1|R|101549832|4||||N||0||||160000123320380||| 
160000123387874|Q|YHGJ|.795|1|.8459|1|R|101549839|4||||N||0||||160000123367228||| 
160000162766499|Q|YHGJ|.7949|1|.8459|1|R|101553021|4||||N||0||||160000162748974||| 
160000162768401|Q|YHGJ|.7473|1|.8459|1|R|101553022|3||||N||0||||160000162749226||| 
160000162789605|Q|YHGJ|.7473|1|.8494|10|R|101553024|3||||N||0||||160000162767719||| 
160000368699049|Q|YHGJ|.7042|1|.8494|10|R|101561552|0||||N||0||||160000368682287||| 
160000439139893|P|YHGJ|.7824|5|.846|6|R|101563178|4||||N||0||||160000438803802||| 
160000442861360|Q|YHGJ|.6963|1|.8494|10|R|101563296|0||||N||0||||160000442845586||| 
160000453411191|Q|YHGJ|.6832|1|.8494|10|R|101563510|0||||N||0||||160000453395054||| 
160037705009475|Q|YHGJ|.6832|1|.9997|2|R|101638396|0||||N||0||||160037704997822||| 
160045705038430|Q|YHGJ|.6832|1|.9999|30|R|101645040|0||||N||0||||160045705027226||| 
160113705234246|Q|YHGJ|.6832|1|0|0|R|101669882|0||||N||0||||160113705222367||| 
160118705208368|Q|YHGJ|.68|1|0|0|R|101672482|0||||N||0||||160118705197004||| 
162245230703824|Q|YHGJ|.712|1|0|0|R|102076089|0||||N||0||||162245230692295||| 
